SMILE A,SMILE B
[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,[*]C(C(OC(CO[*])=O)C)=O
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]CNCC1=CC=CC([*])=C1O
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,O=C(N([*])C([*])=O)CC=C
[*]C(C)C(OCC(O[*])=O)=O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
C[Si](O[*])(C)[*],O=C(O)C([*])C[*]
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]NC(C(O)=O)CCC([*])=O,[*]CCCCO[*]
O=C(O)C([*])C[*],[*]C1=CC=C([*])N1
[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[*]CC=CCCC(C#N)[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]C(F)(C(F)([*])F)F,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]CCCC(CCCCCC)[*],OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,[*]C/C=C\CCC(C=C)[*]
O=C(N)C([*])C[*],[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(OCCCO[*])=O
OCC1OC(C(C(C1O[*])O)O)[*],[*]C/C=C/C[*]
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]CCCC([*])OC(C)=O,O=C1C([*])C(CC[*])C(O1)=O
O=C(O[*])CCCCCCCCCCN[*],OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[*]NC(C(O)=O)CCC([*])=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O,OC(C([*])C[*])=O
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]CC[*],COC(C(C[*])([*])C)=O
[*]C([H])([H])C(O)([H])[*],O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]O[C@H](C)CC([*])=O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]CC(C(OCC)=O)[*],[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]CC(OC(O[*])=O)C
[*]CCCCOCCCCOCCCCOCCCCO[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]C(F)(C(F)([*])F)F
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,CCCCCCC1=C(SC([*])=C1)[*]
[*]CC=CCCC(C1=CC=CC=C1)[*],OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]C(C)C[*],[*]CCC(CCCC(CCCC(C[*])C)C)C
[*]C1=CC=C([*])N1,[*]CC(CC(C#N)[*])C1=CC=CC=C1
C/C(C[*])=C/C[*],[*]C1=C2C(OCCO2)=C([*])S1
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
C[Si](O[*])(C)[*],[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO
[*]C(CCCCCO[*])=O,[*]C(C(OC(O[*])C=O)CO)C=O
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(O[*])CCCCCCCCCCN[*]
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,CCCCCCC1=C(SC([*])=C1)[*]
[*]CC=CCCC(C#N)[*],[*]C(F)(C(F)([*])F)F
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]CC([*])N1CCCC1=O,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]C(C=C1)=CC=C1S[*]
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]C1=CC=C([*])N1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC(CC(C#N)[*])C1=CC=CC=C1
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]C1=C2C(OCCO2)=C([*])S1
[*]CCN[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*]
O=C(C(C[*])[*])N,OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O
[*]CCCC([*])C(OC)=O,O=C(N([*])C([*])=O)CC=C
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,O=C(N([*])C([*])=O)CC=C
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(OCCCO[*])=O
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]CCCC(C1C([*])C2CC1C/C2=C/C)C
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]NC(CCC([*])=O)C(O)=O
OC1C(OC(C(C1O)O)[*])CO[*],[*]C(C(OC(CO[*])=O)C)=O
[*]CCCC([*])OC(C)=O,OCC1OC(C(C(C1O[*])O)O)[*]
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,[*]C(CCCCC(OCCCCO[*])=O)=O
O=C(C(C[*])[*])N,O=C(O[*])CCCCCCCCCCN[*]
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CCCC(CCCCCC)[*]
[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[*]C/C=C(C[*])\Cl,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
O=C(N)C([*])C[*],[*]O[C@H](C)CC([*])=O
[*]CC(C(OCC)=O)[*],[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C(C=C1)=CC=C1S[*]
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,O=C(N([*])C([*])=O)CC=C
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,[*]C(N[*])=O
[*]NC(C(O)=O)CCC([*])=O,[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC([*])N1CCCC1=O
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
O=C1CCCN1C([*])C[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,CC(O[*])CC([*])=O
[*]CC=CCCC(C1=CC=CC=C1)[*],O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,OC(C([*])C[*])=O
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[*]C1=C2C(OCCO2)=C([*])S1,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[*]C(F)(C(F)([*])F)F,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O
[*]NC(C(O)=O)CCC([*])=O,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],O=C(N([*])C([*])=O)CC=C
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,CC(C=C([*])C=C1C)=C1O[*]
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C(C)(C(OCCN(C)C)=O)C[*]
C/C(C[*])=C/C[*],O=C(C(C[*])[*])N
[*]CCCC(CCCCCC)[*],[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*]
OC1C(OC(C(C1O)O)[*])CO[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]CC(CC(C#N)[*])C1=CC=CC=C1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CCC1C([*])C2CCC1C2
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,O=C(O[*])CCCCCCCCCCN[*]
[*]CC([*])Cl,[*]C1=C2C(OCCO2)=C([*])S1
[*]C/C=C(C[*])\Cl,OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*]
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O
O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],[*]C(N[*])=O
O=C(C(C[*])[*])N,[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],C[Si](C)(C[*])O[*]
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C1=C(C(C[*])=CC=C1)O
[*]NCCCCCCCCCCCC([*])=O,[*]C/C=C(C[*])\Cl
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*]
[*]OCC[*],[*]C(OCCCO[*])=O
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*]
O=C(N)C([*])C[*],[*]C1=C2C(OCCO2)=C([*])S1
[*]CC[*],[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]C(C(O[*])C)=O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
C[Si](O[*])(C)[*],[*]CCCC[*]
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]CC([*])N1CCCC1=O
[*]C(C(OC(O[*])C=O)CO)C=O,OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,CC(C=C([*])C=C1C)=C1O[*]
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],CC(CO[*])[*]
[*]CCCC([*])OC(C)=O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
C/C(C[*])=C/C[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]C(C(CCCC[NH3+])N[*])=O
[*]CC=CCCC(C1=CC=CC=C1)[*],[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,CC(CC(C(C(O1)=O)CC1=O)[*])C[*]
[*]CCCC([*])OC(C)=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]CC(C(OCC)=O)[*],[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]CCC(CCCCCC)C[*],[*]C1=CC=C([*])N1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]CCCCO[*]
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*]
C[Si](O[*])(C)[*],[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]CC[*],O=C(O[*])CCCCCCCCCCN[*]
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]CCCCO[*]
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,O=C([*])CCCCCO[*]
[*]C(C)(C(OCCN(C)C)=O)C[*],OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,OC1C(OC(C(C1O)O)[*])CO[*]
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]C(C(O[*])C)=O
O=C(O)C([*])C[*],OC1C(OC(C(C1O)O)[*])CO[*]
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]CCCC(C(O)=O)[*]
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
[*]C1=CC=C([*])N1,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
O=C([*])C(C)O[*],[*]OCC[*]
O=C1CCCN1C([*])C[*],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
[*]CC=CCCC(C1=CC=CC=C1)[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,[*]C(C)(C(OCCN(C)C)=O)C[*]
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
[*]OCCCCOC(CCC([*])=O)=O,[*]CC([*])CC
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O
O=C1CCCN1C([*])C[*],OC1C(OC(C(C1O)O)[*])CO[*]
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O
O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,OCC(OCC(COCC(CO[*])O)O)COCC(OCC(COCC(CO)O)O)COCC(COCC(CO[*])O)O
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,CC(O[*])CC([*])=O
